N,chi_t,C,S_ent,sz_A,sz_B,F_pred,S_chsh
4,2.758030,0.00000000,1.94726295,0.00000000,0.00000000,0.66666667,2.00000000
4,2.817553,0.00000000,1.96229428,0.00000000,0.00000000,0.66666667,2.00000000
4,2.877075,0.00000000,1.97483741,0.00000000,0.00000000,0.66666667,2.00000000
4,2.936598,0.00000000,1.98486995,0.00000000,0.00000000,0.66666667,2.00000000
4,2.996120,0.00000000,1.99237405,0.00000000,0.00000000,0.66666667,2.00000000
4,3.055642,0.00000000,1.99733636,0.00000000,0.00000000,0.66666667,2.00000000
4,3.115165,0.00000000,1.99974810,0.00000000,0.00000000,0.66666667,2.00000000
4,3.174687,0.00000000,1.99960499,0.00000000,0.00000000,0.66666667,2.00000000
4,3.234210,0.00000000,1.99690728,0.00000000,0.00000000,0.66666667,2.00000000
4,3.293732,0.00000000,1.99165976,0.00000000,0.00000000,0.66666667,2.00000000
4,3.353254,0.00000000,1.98387173,0.00000000,0.00000000,0.66666667,2.00000000
4,3.412777,0.00000000,1.97355703,0.00000000,0.00000000,0.66666667,2.00000000
4,3.472299,0.00000000,1.96073401,0.00000000,0.00000000,0.66666667,2.00000000
4,3.531822,0.00000000,1.94542558,0.00000000,0.00000000,0.66666667,2.00000000
4,3.591344,0.00000000,1.92765915,0.00000000,0.00000000,0.66666667,2.00000000
4,3.650866,0.00000000,1.90746667,0.00000000,0.00000000,0.66666667,2.00000000
4,3.710389,0.00000000,1.88488462,0.00000000,0.00000000,0.66666667,2.00000000
4,3.769911,0.00000000,1.85995401,0.00000000,0.00000000,0.66666667,2.00000000
6,0.020000,0.00989884,0.00157299,-0.00000000,0.00000000,0.66996628,2.00009798
6,0.079522,0.03810904,0.01856305,0.00000000,0.00000000,0.67936968,2.00145177
6,0.139045,0.06431725,0.04891227,0.00000000,0.00000000,0.68810575,2.00413244
6,0.198567,0.08837010,0.08948988,0.00000000,0.00000000,0.69612337,2.00779409
6,0.258090,0.11013264,0.13832562,0.00000000,0.00000000,0.70337755,2.01209264
6,0.317612,0.12948924,0.19393997,0.00000000,0.00000000,0.70982975,2.01669776
6,0.377134,0.14634419,0.25512975,0.00000000,0.00000000,0.71544806,2.02130317
6,0.436657,0.16062218,0.32087103,-0.00000000,0.00000000,0.72020739,2.02563519
6,0.496179,0.17226843,0.39026720,0.00000000,0.00000000,0.72408948,2.02945945
6,0.555702,0.18124881,0.46251835,0.00000000,0.00000000,0.72708294,2.03258567
6,0.615224,0.18754954,0.53690195,-0.00000000,0.00000000,0.72918318,2.03487084
6,0.674746,0.19117689,0.61276013,0.00000000,0.00000000,0.73039230,2.03622062
6,0.734269,0.19215657,0.68949096,0.00000000,0.00000000,0.73071886,2.03658945
6,0.793791,0.19053300,0.76654241,0.00000000,0.00000000,0.73017767,2.03597920
6,0.853314,0.18636842,0.84340799,0.00000000,0.00000000,0.72878947,2.03443672
6,0.912836,0.17974190,0.91962363,0.00000000,0.00000000,0.72658063,2.03205034
6,0.972358,0.17074811,0.99476538,0.00000000,0.00000000,0.72358270,2.02894546
